record_type,sensor_model,sensor_id,channel,rows,first_local,last_local,raw_min,raw_max,raw_median,value_min,value_max,value_median,quality_flags,raw_eq_51201_rows
plants.env,AS7263,as7263,nir_610,2920,2026-06-30 13:18:16.324,2026-06-30 17:31:05.175,32,8590,574,,,,OK,0
plants.env,AS7263,as7263,nir_680,2920,2026-06-30 13:18:16.324,2026-06-30 17:31:05.265,60,51201,1316,,,,OK,165
plants.env,AS7263,as7263,nir_730,2920,2026-06-30 13:18:16.326,2026-06-30 17:31:05.344,64,7406,337,,,,OK,0
plants.env,AS7263,as7263,nir_760,2920,2026-06-30 13:18:16.326,2026-06-30 17:31:05.422,60,15409,684,,,,OK,0
plants.env,AS7263,as7263,nir_810,2920,2026-06-30 13:18:16.328,2026-06-30 17:31:05.501,53,30346,1361.5,,,,OK,0
plants.env,AS7263,as7263,nir_860,2920,2026-06-30 13:18:16.328,2026-06-30 17:31:05.580,40,51201,1640,,,,OK,67
plants.env,SHT45,sht45,ambient_rh,2920,2026-06-30 13:18:16.321,2026-06-30 17:31:05.048,21422,31342,28890,34.86,53.78,49.1,OK,0
plants.env,SHT45,sht45,ambient_temp,2920,2026-06-30 13:18:15.303,2026-06-30 17:31:04.969,27365,30247,27629,28.07,35.77,28.78,OK,0
plants.soil,UMLIFE_v2_TLC555,s1,soil_moisture,2983,2026-06-30 12:58:28.429,2026-06-30 17:31:05.817,1694,3284,3199,,,,OK,0
plants.soil,UMLIFE_v2_TLC555,s2,soil_moisture,2983,2026-06-30 12:58:28.429,2026-06-30 17:31:05.893,1476,3203,3134,,,,OK,0
plants.soil,UMLIFE_v2_TLC555,s3,soil_moisture,2983,2026-06-30 12:58:27.635,2026-06-30 17:31:05.665,3019,3232,3165,,,,OK,0
plants.soil,UMLIFE_v2_TLC555,s4,soil_moisture,2983,2026-06-30 12:58:28.429,2026-06-30 17:31:05.738,2199,3258,3181,,,,OK,0
